signal_date,style_size,style_liquidity,style_momentum,style_volatility,style_profitability,style_growth,style_leverage
2019-01-31,0.2207270770830418,-0.6005154444514834,0.0817268039484964,0.034289076848290356,-0.005274463981458259,-0.009928021422271031,0.005275753839142624
2019-02-28,0.24332243892243047,-0.6271235971038214,0.14332137324569008,0.09170668556362906,0.019603365354795326,0.0014897885706783886,0.007642547648968657
2019-03-29,0.25935943469312955,-0.6243310061221925,0.07900949442001226,0.07052986846646005,0.031213119849324858,-0.028978034064546097,0.0005507278500247348
2019-04-30,0.2418400366112572,-0.6004559227090479,-0.06821740955596993,0.02603475277867902,0.01056970113302729,0.0011262735679004468,0.0043914702532556315
2019-05-31,0.1851014054248875,-0.5698881413511656,-0.05036217841957465,-0.022664953878118153,-0.003987602421322323,0.010604326129195896,-0.013568067608387944
2019-06-28,0.21356545405949504,-0.642906783288735,-0.00964166860479969,0.02580314134349708,-0.013120916527226661,0.013829710490891873,-0.0020387863106775465
2019-07-31,0.2195449397606061,-0.5826568048532546,0.031605332222730834,0.007896660760933682,-0.03539447927027949,0.007324216564550429,-0.011654292176643868
2019-08-30,0.22386312285180854,-0.6014137974141055,0.022954226017944522,0.07385399112331614,-0.022790182743628894,-0.01643697927723178,-0.00959196843471251
2019-09-30,0.2309770062137591,-0.5702338215148819,0.011323082573047634,0.05051438251032071,-0.026476093713544382,-0.017803672964652635,-0.024186764343515493
2019-10-31,0.21839075999764626,-0.5733052534265362,0.07297286353553675,0.060483123564159094,-0.06598047792509754,0.028018949925984377,-0.0055349376821693455
2019-11-29,0.2585845366975447,-0.6116761914685761,0.020530723317578863,0.14520125646380122,-0.0383343801289962,0.034797867957622984,-0.006766670203513984
2019-12-31,0.2814989675557409,-0.6592961284799008,0.04969534970118496,0.14508430225141122,-0.047263985294436824,0.03780882008713724,0.0021858966486421882
2020-01-23,0.2797447126159013,-0.6121770749631953,0.009186813629844633,0.1296760324121656,-0.06438075390912959,0.013223648228666507,-0.02065044905579114
2020-02-28,0.27543489375934044,-0.6117561226603592,0.030490292441007483,0.15274148904318693,-0.0728139142274055,-0.0016144455257936818,-0.024108481958279283
2020-03-31,0.2954920573060413,-0.6763160144542301,0.05658802410327343,0.17822130476906017,-0.04710340920215102,0.010409957646395804,-0.05203764652479625
2020-04-30,0.3065478650975509,-0.6956881201414938,-0.0001825820280172328,0.19734739064262816,-0.007705024467451813,-0.04068770516818607,-0.02995731971479859
2020-05-29,0.27308429038312343,-0.6720593563418406,-0.015279510650098714,0.1811344919486353,0.0034289530215492626,-0.023871690934312167,-0.03878252861661072
2020-06-30,0.26379742788364025,-0.6246878799683891,-0.05302607545760563,0.1225591971073681,0.01762172744904103,-0.012724125165069114,-0.04278178853548051
2020-07-31,0.18717477298689916,-0.5085266685665754,0.04560728080191422,-0.06549103289076996,-0.00784587135212149,-0.03398451095173843,-0.049902631852292184
2020-08-31,0.22835686193025012,-0.5228784061347014,0.011457148101960942,0.010808108305922017,0.010168626414242196,-0.029158804126908803,-0.058948006812490066
2020-09-30,0.20158605074285588,-0.4921649391490462,-0.033312747412959344,-0.019613458263560174,0.01622785910139563,-0.022146059842134386,-0.059498551505396055
2020-10-30,0.1994284759993037,-0.5263945453315877,-0.08625099616014002,-0.03707825796016753,-0.030977223424470703,0.08094196880416471,-0.07252385570256673
2020-11-30,0.21606658155978473,-0.4896021683636607,-0.08716289576571787,-0.05800848697509278,-0.029410581027672158,0.052217927199362885,-0.04017491635221643
2020-12-31,0.20481071459274297,-0.47294028936762084,-0.1087807851395287,-0.04633916045989306,0.0027435335372825134,0.046768692501994606,-0.04893019640612878
2021-01-29,0.1970420163518011,-0.6783693317253625,0.341260138538125,0.0005860919771279992,0.08759961976143893,0.03259824313237865,0.06204566123339223
2021-02-26,0.16906242527853005,-0.6168161811103564,0.41765436732839895,-0.020879247858505763,0.0780989775325694,0.008305571555952518,0.07023740292456157
2021-03-31,0.12120633721314933,-0.6410191081973158,0.5117225149006154,-0.04833490913576655,0.08062214942877456,0.033143872009171765,0.06829488542939617
